Data;NanoSegundo;Lat.;Lng.;Corrente;Azimute;SemiMaior;SemiMenor;Tipo
"18/02/2023 17:31:47";679105;-23.8155;-46.1672;-6;50;2.374;1.996;IN
"18/02/2023 17:33:19";945831;-23.8165;-46.1453;-18;55;2.361;1.666;NS
"18/02/2023 17:36:00";862135;-23.8656;-46.1725;-22;48;4.927;4.381;NS
"18/02/2023 17:40:03";512629;-23.8583;-46.1743;-50;55;5;3.473;NS
"18/02/2023 17:42:32";190817;-23.8627;-46.1748;-7;68;1.215;0.5;IN
"18/02/2023 17:45:25";668921984;-23.8569;-46.1418;-7;137;0.2;0.1;IN
"18/02/2023 17:45:26";216527;-23.8422;-46.1794;-24;59;5;3.009;NS
"18/02/2023 17:46:14";958040;-23.8587;-46.1842;-1;73;1.746;0.535;IN
"18/02/2023 17:47:54";907369344;-23.8598;-46.1436;2;141;0.3;0.1;IN
"18/02/2023 17:47:55";199979584;-23.8571;-46.1551;3;131;0.5;0.1;IN
"18/02/2023 17:47:55";222885792;-23.8551;-46.1552;-3;140;0.3;0.1;IN
"18/02/2023 17:47:55";271750176;-23.854;-46.1551;-2;141;0.3;0.1;IN
"18/02/2023 17:47:55";385675;-23.8391;-46.1769;-20;46;4.614;4.491;NS
"18/02/2023 17:47:55";393148224;-23.8712;-46.1653;2;149;1.1;0.3;IN
"18/02/2023 17:49:07";674242304;-23.8671;-46.1615;-3;131;0.4;0.1;IN
"18/02/2023 17:49:07";841232;-23.853;-46.1802;-16;59;5;2.961;NS
"18/02/2023 17:49:51";748054720;-23.8555;-46.1358;-4;139;0.3;0.1;IN
"18/02/2023 17:49:52";85529;-23.842;-46.1896;-5;73;2.866;0.866;IN
"18/02/2023 17:50:59";159907664;-23.8701;-46.1617;2;134;0.5;0.2;IN
"18/02/2023 17:50:59";224477136;-23.8499;-46.1391;1;134;0.9;0.3;IN
"18/02/2023 17:50:59";29588980;-23.8711;-46.1609;3;136;0.3;0.1;IN
"18/02/2023 17:50:59";367234912;-23.867;-46.1794;3;139;0.6;0.2;IN
"18/02/2023 17:50:59";39637560;-23.8729;-46.1722;2;134;0.3;0.1;IN
"18/02/2023 17:50:59";499126;-23.8387;-46.1898;-16;71;4.485;1.577;NS
"18/02/2023 17:52:00";258093808;-23.8607;-46.1566;6;135;0.2;0.1;IN
"18/02/2023 17:52:00";259487312;-23.8594;-46.1575;3;139;0.2;0.1;IN
"18/02/2023 17:52:00";409706;-23.8343;-46.1923;-6;73;4.485;1.353;IN
"18/02/2023 17:53:15";405893;-23.8552;-46.1861;-1;73;2.139;0.647;IN
"18/02/2023 17:53:15";428252768;-23.8731;-46.1816;-2;139;0.3;0.1;IN
"18/02/2023 17:53:15";539692032;-23.8579;-46.1684;5;137;0.3;0.1;IN
"18/02/2023 17:53:15";738782720;-23.8527;-46.1706;-5;136;0.3;0.1;IN
"18/02/2023 17:53:15";755685376;-23.8575;-46.1572;9;136;0.2;0.1;IN
"18/02/2023 17:53:15";783554;-23.844;-46.191;-7;82;4.059;0.603;IN
"18/02/2023 17:53:15";793638016;-23.859;-46.1568;3;131;0.2;0.1;IN
"18/02/2023 17:53:29";65768;-23.7532;-46.1113;-4;68;5;1.977;IN
"18/02/2023 17:53:56";551153856;-23.852;-46.1661;3;139;0.3;0.1;IN
"18/02/2023 17:53:56";817933376;-23.8738;-46.1813;3;138;0.3;0.1;IN
"18/02/2023 17:53:56";840454784;-23.8532;-46.1627;4;132;0.3;0.1;IN
"18/02/2023 17:53:56";853668736;-23.8571;-46.1609;5;138;0.2;0.1;IN
"18/02/2023 17:53:56";859316;-23.8289;-46.195;-4;73;4.492;1.355;IN
"18/02/2023 17:55:49";916247040;-23.8006;-46.0326;3;142;0.2;0.1;IN
"18/02/2023 17:55:50";221062416;-23.8049;-46.0433;3;143;0.8;0.3;IN
"18/02/2023 17:55:50";273549536;-23.8229;-46.0429;-3;133;0.5;0.2;IN
"18/02/2023 17:55:50";310523;-23.7888;-46.0699;-16;45;5;5;NS
"18/02/2023 17:55:51";62031;-23.7829;-46.1699;-13;64;5;2.431;NS
"18/02/2023 17:56:17";572612544;-23.858;-46.1802;3;136;0.4;0.1;IN
